X,Y,OBJECTID,NCESSCH,SURVYEAR,STABR,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LSTREET2,LCITY,LSTATE,LZIP,LZIP4,PHONE,CHARTER_TEXT,MAGNET_TEXT,VIRTUAL,GSLO,GSHI,SCHOOL_LEVEL,TITLEI,STITLEI,STATUS,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,ULOCALE,NMCNTY,TOTFRL,FRELCH,REDLCH,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,UG,AE,TOTMENROL,TOTFENROL,TOTAL,MEMBER,FTE,STUTERATIO,AMALM,AMALF,AM,ASALM,ASALF,AS,BLALM,BLALF,BL,HPALM,HPALF,HP,HIALM,HIALF,HI,TRALM,TRALF,TR,WHALM,WHALF,WH,LATCOD,LONCOD
-86.7288,33.3927,28,010000701456,2020-2021,AL,0100007,AL-158,Hoover City,Spain Park High School,4700 Jaguar Drive,,Hoover,AL,35242,4678,(205)439-1400,No,No,Not Virtual,09,12,High,2-No,N,1,Regular school,Currently operational ,13-City: Small,Shelby County,330,247,83,,,,,,,,,,,431,403,406,394,,,,,,1634,1634,109.3799973,14.94,0,0,0,58,41,99,175,154,329,0,1,1,61,64,125,49,38,87,521,472,993,33.3927,-86.7288
-86.8674,33.3639,29,010000701483,2020-2021,AL,0100007,AL-158,Hoover City,Deer Valley Elementary School,4990 Ross Bridge Parkway,,Hoover,AL,35226,5064,(205)439-3300,No,No,Not Virtual,PK,05,Elementary,2-No,N,1,Regular school,Currently operational ,13-City: Small,Jefferson County,65,54,11,4,133,117,120,142,113,137,,,,,,,,,,,,,766,766,50.59999847,15.14,0,0,0,55,36,91,54,67,121,0,0,0,19,6,25,24,19,43,259,227,486,33.3639,-86.8674
-86.8538,33.4096,30,010000701738,2020-2021,AL,0100007,AL-158,Hoover City,Bluff Park Elementary School,569 Park Avenue,,Hoover,AL,35226,1298,(205)439-2800,No,No,Not Virtual,PK,05,Elementary,2-No,N,1,Regular school,Currently operational ,13-City: Small,Jefferson County,120,97,23,12,102,82,89,106,115,91,,,,,,,,,,,,,597,597,40,14.93,0,0,0,4,4,8,34,47,81,0,0,0,15,10,25,11,10,21,223,239,462,33.4096,-86.8538
-86.8088,33.3957,31,010000701739,2020-2021,AL,0100007,AL-158,Hoover City,Green Valley Elementary School,3200 Old Columbiana Rd,,Hoover,AL,35226,3398,(205)439-2500,No,No,Not Virtual,PK,05,Elementary,1-Yes,2-No,1,Regular school,Currently operational ,13-City: Small,Jefferson County,204,181,23,21,60,67,72,69,72,50,,,,,,,,,,,,,411,411,35,11.74,1,0,1,4,3,7,84,62,146,0,0,0,37,38,75,12,14,26,83,73,156,33.3957,-86.8088
-86.8312,33.3882,32,010000701740,2020-2021,AL,0100007,AL-158,Hoover City,Gwin Elementary School,1580 Patton Chapel Road,,Hoover,AL,35226,2258,(205)439-2600,No,No,Not Virtual,PK,05,Elementary,1-Yes,2-No,1,Regular school,Currently operational ,13-City: Small,Jefferson County,217,177,40,21,82,96,85,101,82,92,,,,,,,,,,,,,559,559,44.70000076,12.51,1,0,1,8,10,18,84,73,157,3,0,3,43,38,81,18,19,37,137,125,262,33.3882,-86.8312
-86.8337,33.3879,33,010000701741,2020-2021,AL,0100007,AL-158,Hoover City,Ira F Simmons Middle School,1575 Patton Chapel Road,,Hoover,AL,35226,2257,(205)439-2100,No,No,Not Virtual,06,08,Middle,1-Yes,2-No,1,Regular school,Currently operational ,13-City: Small,Jefferson County,412,330,82,,,,,,,,352,376,332,,,,,,,,,,1060,1060,70.44999695,15.05,0,1,1,19,22,41,158,137,295,1,0,1,80,69,149,36,29,65,285,223,508,33.3879,-86.8337
-86.7668,33.4091,34,010000701742,2020-2021,AL,0100007,AL-158,Hoover City,Rocky Ridge Elementary School,2876 Old Rocky Ridge Rd,,Hoover,AL,35243,2999,(205)439-2900,No,No,Not Virtual,PK,05,Elementary,1-Yes,2-No,1,Regular school,Currently operational ,13-City: Small,Jefferson County,188,167,21,19,87,102,95,92,109,89,,,,,,,,,,,,,593,593,47,12.62,0,0,0,9,16,25,53,56,109,0,0,0,49,41,90,19,15,34,184,151,335,33.4091,-86.7668
-86.824614,33.426608,35,010000701743,2020-2021,AL,0100007,AL-158,Hoover City,Shades Mountain Elementary School,2250 Sumpter St,,Hoover,AL,35226,3099,(205)439-3100,No,No,Not Virtual,PK,05,Elementary,1-Yes,2-No,1,Regular school,Currently operational ,13-City: Small,Jefferson County,98,76,22,8,41,60,47,44,47,56,,,,,,,,,,,,,303,303,25.70000076,11.79,0,0,0,10,8,18,27,31,58,0,0,0,11,15,26,13,16,29,94,78,172,33.426608,-86.824614
-86.8129,33.3596,36,010000702091,2020-2021,AL,0100007,AL-158,Hoover City,Riverchase Elementary School,1950 Old Montgomery Highway,,Hoover,AL,35244,1516,(205)439-3400,No,No,Not Virtual,PK,05,Elementary,2-No,N,1,Regular school,Currently operational ,13-City: Small,Shelby County,184,142,42,5,95,102,103,123,131,108,,,,,,,,,,,,,667,667,50,13.34,0,1,1,45,40,85,78,78,156,0,0,0,39,27,66,15,18,33,160,166,326,33.3596,-86.8129
-86.88919,33.344122,37,010000702186,2020-2021,AL,0100007,AL-158,Hoover City,Brocks Gap Intermediate School,1730 Lake Cyrus Club Drive,,Hoover,AL,35244,4182,(205)439-1600,No,No,Not Virtual,03,05,Elementary,2-No,N,1,Regular school,Currently operational ,13-City: Small,Jefferson County,61,52,9,,,,,145,132,161,,,,,,,,,,,,,438,438,30.5,14.36,0,0,0,28,19,47,62,41,103,0,0,0,11,8,19,20,15,35,125,109,234,33.344122,-86.88919
-86.840932,33.337604,38,010000702359,2020-2021,AL,0100007,AL-158,Hoover City,Crossroads School,1085 Buccaneer Drive,,Hoover,AL,35244,    ,(205)439-1800,No,No,Not Virtual,06,12,High,2-No,N,1,Alternative Education School,Currently operational ,13-City: Small,Jefferson County,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,33.337604,-86.840932
-86.80969,33.34668,39,010000702487,2020-2021,AL,0100007,AL-158,Hoover City,Riverchase Career Connection Center,853 Willow Oak Drive,,Hoover,AL,35244,    ,(205)439-1900,No,No,Not Virtual,10,12,High,2-No,N,1,Career and Technical School,Currently operational ,13-City: Small,Shelby County,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,33.34668,-86.80969
-86.7137,34.7058,40,010000800303,2020-2021,AL,0100008,AL-169,Madison City,Horizon Elementary School,7855 Old Madison Pike,,Madison,AL,35758,    ,(256)464-3614,No,No,Not Virtual,PK,05,Elementary,1-Yes,2-No,1,Regular school,Currently operational ,21-Suburb: Large,Madison County,75,61,14,0,77,89,103,110,100,118,,,,,,,,,,,,,597,597,40,14.93,3,3,6,27,16,43,44,46,90,1,0,1,20,19,39,20,21,41,190,187,377,34.7058,-86.7137
-86.7427,34.7408,41,010000800495,2020-2021,AL,0100008,AL-169,Madison City,Discovery Middle School,1304 Hughes Rd,,Madison,AL,35758,    ,(256)837-3735,No,No,Not Virtual,06,08,Middle,2-No,N,1,Regular school,Currently operational ,21-Suburb: Large,Madison County,135,121,14,,,,,,,,413,444,455,,,,,,,,,,1312,1312,76.16000366,17.23,3,9,12,60,49,109,151,147,298,0,0,0,49,46,95,33,39,72,413,313,726,34.7408,-86.7427
-86.7425,34.7192,42,010000800831,2020-2021,AL,0100008,AL-169,Madison City,Bob Jones High School,650 Hughes Rd,,Madison,AL,35758,    ,(256)772-2547,No,No,Not Virtual,09,12,High,2-No,N,1,Regular school,Currently operational ,21-Suburb: Large,Madison County,186,162,24,,,,,,,,,,,461,480,487,452,,,,,,1880,1880,106.5,17.65,3,6,9,67,77,144,185,181,366,5,1,6,72,61,133,36,38,74,604,544,1148,34.7192,-86.7425
-86.7505,34.6975,43,010000800839,2020-2021,AL,0100008,AL-169,Madison City,Madison Elementary School,17 College St,,Madison,AL,35758,    ,(256)772-9255,No,No,Not Virtual,PK,05,Elementary,1-Yes,2-No,1,Regular school,Currently operational ,21-Suburb: Large,Madison County,87,75,12,0,77,94,91,76,65,104,,,,,,,,,,,,,507,507,34,14.91,1,0,1,18,21,39,49,59,108,1,0,1,23,15,38,19,21,40,133,147,280,34.6975,-86.7505
-86.7512,34.7212,44,010000800851,2020-2021,AL,0100008,AL-169,Madison City,West Madison Elementary School,4976 Wall Triana Hwy,,Madison,AL,35758,    ,(256)837-1189,No,No,Not Virtual,PK,05,Elementary,2-No,N,1,Regular school,Currently operational ,21-Suburb: Large,Madison County,62,55,7,0,105,85,82,95,85,89,,,,,,,,,,,,,541,541,35,15.46,1,0,1,14,19,33,47,40,87,1,2,3,21,21,42,19,24,43,168,164,332,34.7212,-86.7512
-86.7832,34.7211,45,010000801423,2020-2021,AL,0100008,AL-169,Madison City,Heritage Elementary School,11775 County Line Rd,,Madison,AL,35758,3301,(256)772-2075,No,No,Not Virtual,KG,05,Elementary,2-No,N,1,Regular school,Currently operational ,21-Suburb: Large,Madison County,78,70,8,,131,133,115,155,150,158,,,,,,,,,,,,,842,842,52.29999924,16.1,1,2,3,47,54,101,72,83,155,2,2,4,35,34,69,16,29,45,244,221,465,34.7211,-86.7832
-86.7331,34.7512,46,010000801485,2020-2021,AL,0100008,AL-169,Madison City,Rainbow Elementary School,50 Nance Rd,,Madison,AL,35758,9507,(256)824-8106,No,No,Not Virtual,PK,05,Elementary,2-No,N,1,Regular school,Currently operational ,21-Suburb: Large,Madison County,54,44,10,240,107,115,101,99,104,106,,,,,,,,,,,,,872,872,54.29999924,16.06,1,0,1,33,31,64,78,60,138,0,1,1,31,36,67,28,27,55,281,265,546,34.7512,-86.7331
-86.7792,34.7337,47,010000801798,2020-2021,AL,0100008,AL-169,Madison City,Liberty Middle School,281 Dock Murphy Dr,,Madison,AL,35758,    ,(256)430-0001,No,No,Not Virtual,06,08,Middle,2-No,N,1,Regular school,Currently operational ,21-Suburb: Large,Madison County,150,133,17,,,,,,,,434,420,461,,,,,,,,,,1315,1315,77.33000183,17.01,5,4,9,71,67,138,118,122,240,1,1,2,64,40,104,22,20,42,373,407,780,34.7337,-86.7792
-86.766,34.7343,48,010000802097,2020-2021,AL,0100008,AL-169,Madison City,Columbia Elementary School,667 Balch Road,,Madison,AL,35758,    ,(256)430-2751,No,No,Not Virtual,PK,05,Elementary,1-Yes,2-No,1,Regular school,Currently operational ,21-Suburb: Large,Madison County,110,96,14,0,140,131,149,134,135,155,,,,,,,,,,,,,844,844,50,16.88,1,2,3,59,45,104,97,85,182,0,0,0,31,30,61,32,27,59,231,204,435,34.7343,-86.766
-86.772013,34.701186,49,010000802133,2020-2021,AL,0100008,AL-169,Madison City,Mill Creek Elementary School,847 Mill Road,,Madison,AL,35758,    ,(256)774-4690,No,No,Not Virtual,PK,05,Elementary,1-Yes,2-No,1,Regular school,Currently operational ,21-Suburb: Large,Madison County,138,125,13,54,134,143,168,144,153,146,,,,,,,,,,,,,942,942,67.80000305,13.89,2,3,5,48,45,93,100,76,176,0,0,0,44,33,77,30,36,66,279,246,525,34.701186,-86.772013
-86.791802,34.705886,50,010000802198,2020-2021,AL,0100008,AL-169,Madison City,James Clemens High School,11306 County Line Road,,Madison,AL,35756,    ,(256)216-5313,No,No,Not Virtual,09,12,High,2-No,N,1,Regular school,Currently operational ,21-Suburb: Large,Limestone County,195,179,16,,,,,,,,,,,537,536,532,547,,,,,,2152,2152,117.6500015,18.29,6,9,15,107,100,207,241,196,437,3,3,6,74,61,135,39,31,70,660,622,1282,34.705886,-86.791802
-86.098534,33.43196,51,010000901403,2020-2021,AL,0100009,AL-600,Al Inst Deaf And Blind,Alabama School For Deaf,205 E South Street,,Talladega,AL,35160,2411,(256)761-3214,No,No,Not Virtual,KG,12,Other,2-No,N,1,Special education school,Currently operational ,32-Town: Distant,Talladega County,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,33.43196,-86.098534
-86.089689,33.433574,52,010000901404,2020-2021,AL,0100009,AL-600,Al Inst Deaf And Blind,Alabama School For Blind,705 E South Street,,Talladega,AL,35160,    ,(256)761-3259,No,No,Not Virtual,KG,12,Other,2-No,N,1,Special education school,Currently operational ,32-Town: Distant,Talladega County,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,33.433574,-86.089689
-86.117477,33.427279,53,010000901405,2020-2021,AL,0100009,AL-600,Al Inst Deaf And Blind,Helen Keller School,1221 Cochran Ave,,Talladega,AL,35161,    ,(256)761-3250,No,No,Not Virtual,KG,12,Other,2-No,N,1,Special education school,Currently operational ,32-Town: Distant,Talladega County,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,33.427279,-86.117477
-86.117706,33.42544,54,010000901406,2020-2021,AL,0100009,AL-600,Al Inst Deaf And Blind,E H Gentry Technical Facility,1105 Fort Lashley,,Talladega,AL,35160,    ,(256)761-3402,No,No,Not Virtual,07,12,High,2-No,N,1,Special education school,Currently operational ,32-Town: Distant,Talladega County,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,33.42544,-86.117706
-86.590455,34.722432,55,010000902231,2020-2021,AL,0100009,AL-600,Al Inst Deaf And Blind,Child Count Only,1001 Monroe St,,Huntsville,AL,35801,    ,(256)761-3200,No,No,Not Virtual,M ,M ,Not Reported,2-No,N,1,Special education school,Currently operational ,12-City: Mid-size,Madison County,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,34.722432,-86.590455
-86.5481,33.5452,56,010001102094,2020-2021,AL,0100011,AL-167,Leeds City,Leeds Elementary School,950 Ashville Road,,Leeds,AL,35094,    ,(205)699-4500,No,No,Not Virtual,01,05,Elementary,1-Yes,1-Yes,1,Regular school,Currently operational ,21-Suburb: Large,Jefferson County,196,185,11,,,0,0,142,137,158,,,,,,,,,,,,,437,437,21.5,20.33,0,1,1,1,0,1,54,48,102,0,0,0,34,36,70,2,0,2,138,123,261,33.5452,-86.5481
